Date,Open*,High,Low,Close**,Volume,Market Cap
"Nov 10, 2019",$0.09,$0.09,$0.09,$0.09,"$681,327","$78,798,549"
"Nov 09, 2019",$0.09,$0.09,$0.09,$0.09,"$931,314","$78,465,391"
"Nov 08, 2019",$0.09,$0.09,$0.09,$0.09,"$997,297","$76,618,893"
"Nov 07, 2019",$0.09,$0.09,$0.09,$0.09,"$2,021,302","$80,146,625"
"Nov 06, 2019",$0.09,$0.09,$0.09,$0.09,"$9,532,447","$81,747,525"
"Nov 05, 2019",$0.09,$0.09,$0.09,$0.09,"$1,165,778","$82,005,084"
"Nov 04, 2019",$0.09,$0.09,$0.09,$0.09,"$2,757,472","$80,934,576"
"Nov 03, 2019",$0.09,$0.10,$0.09,$0.09,"$765,986","$81,922,115"
"Nov 02, 2019",$0.09,$0.10,$0.09,$0.09,"$1,325,845","$81,999,367"
"Nov 01, 2019",$0.09,$0.10,$0.09,$0.09,"$4,011,567","$81,735,856"
"Oct 31, 2019",$0.10,$0.10,$0.09,$0.09,"$2,117,204","$81,675,243"
"Oct 30, 2019",$0.10,$0.10,$0.09,$0.10,"$2,056,826","$83,377,922"
"Oct 29, 2019",$0.10,$0.11,$0.10,$0.10,"$4,234,441","$88,060,559"
"Oct 28, 2019",$0.10,$0.10,$0.10,$0.10,"$1,784,032","$84,603,891"
"Oct 27, 2019",$0.09,$0.10,$0.09,$0.10,"$2,154,679","$84,247,658"
"Oct 26, 2019",$0.10,$0.10,$0.09,$0.09,"$3,797,234","$81,033,022"
"Oct 25, 2019",$0.09,$0.10,$0.09,$0.10,"$4,052,890","$84,692,257"
"Oct 24, 2019",$0.10,$0.10,$0.09,$0.09,"$3,334,001","$81,811,594"
"Oct 23, 2019",$0.09,$0.10,$0.09,$0.10,"$8,168,901","$83,435,370"
"Oct 22, 2019",$0.09,$0.10,$0.09,$0.09,"$1,389,734","$81,842,635"
"Oct 21, 2019",$0.09,$0.09,$0.08,$0.09,"$589,326","$75,694,679"
"Oct 20, 2019",$0.08,$0.09,$0.08,$0.09,"$532,739","$74,852,169"
"Oct 19, 2019",$0.09,$0.09,$0.08,$0.08,"$522,366","$72,391,252"
"Oct 18, 2019",$0.09,$0.09,$0.09,$0.09,"$920,826","$75,710,543"
"Oct 17, 2019",$0.09,$0.09,$0.09,$0.09,"$1,033,971","$79,787,694"
"Oct 16, 2019",$0.09,$0.09,$0.08,$0.09,"$1,094,072","$78,087,717"
"Oct 15, 2019",$0.10,$0.10,$0.09,$0.09,"$2,396,740","$78,367,294"
"Oct 14, 2019",$0.10,$0.10,$0.09,$0.10,"$660,319","$84,298,044"
"Oct 13, 2019",$0.09,$0.10,$0.09,$0.10,"$975,901","$86,706,905"
"Oct 12, 2019",$0.10,$0.10,$0.09,$0.09,"$1,189,331","$80,260,516"
"Oct 11, 2019",$0.09,$0.10,$0.08,$0.10,"$1,001,456","$84,938,673"
"Oct 10, 2019",$0.09,$0.09,$0.09,$0.09,"$8,347,595","$77,579,113"
"Oct 09, 2019",$0.09,$0.10,$0.09,$0.09,"$1,994,893","$80,597,049"
"Oct 08, 2019",$0.09,$0.09,$0.09,$0.09,"$1,916,367","$81,902,656"
"Oct 07, 2019",$0.09,$0.09,$0.08,$0.09,"$1,561,322","$79,314,247"
"Oct 06, 2019",$0.09,$0.09,$0.09,$0.09,"$2,018,617","$76,509,272"
"Oct 05, 2019",$0.09,$0.09,$0.09,$0.09,"$943,087","$79,785,634"
"Oct 04, 2019",$0.09,$0.09,$0.08,$0.09,"$952,171","$77,102,531"
"Oct 03, 2019",$0.09,$0.09,$0.08,$0.09,"$2,076,587","$76,052,988"
"Oct 02, 2019",$0.08,$0.09,$0.08,$0.09,"$1,137,743","$76,489,686"
"Oct 01, 2019",$0.09,$0.09,$0.08,$0.08,"$2,331,013","$72,529,301"
"Sep 30, 2019",$0.09,$0.09,$0.08,$0.09,"$1,041,791","$75,770,863"
"Sep 29, 2019",$0.09,$0.09,$0.09,$0.09,"$629,138","$78,068,356"
"Sep 28, 2019",$0.09,$0.09,$0.09,$0.09,"$982,316","$78,161,331"
"Sep 27, 2019",$0.09,$0.09,$0.08,$0.09,"$1,418,896","$77,259,848"
"Sep 26, 2019",$0.09,$0.09,$0.08,$0.09,"$2,553,021","$75,134,695"
"Sep 25, 2019",$0.09,$0.09,$0.08,$0.09,"$1,304,253","$75,771,794"
"Sep 24, 2019",$0.12,$0.12,$0.08,$0.09,"$1,844,054","$75,080,783"
"Sep 23, 2019",$0.11,$0.12,$0.10,$0.12,"$755,798","$101,380,649"
"Sep 22, 2019",$0.11,$0.11,$0.10,$0.11,"$718,804","$99,310,922"
"Sep 21, 2019",$0.11,$0.11,$0.11,$0.11,"$308,977","$93,884,829"
"Sep 20, 2019",$0.12,$0.12,$0.11,$0.11,"$412,226","$95,743,165"
"Sep 19, 2019",$0.11,$0.12,$0.11,$0.12,"$1,301,116","$100,395,108"
"Sep 18, 2019",$0.11,$0.12,$0.11,$0.11,"$2,053,211","$99,612,158"
"Sep 17, 2019",$0.11,$0.11,$0.11,$0.11,"$1,319,321","$98,442,199"
"Sep 16, 2019",$0.12,$0.13,$0.11,$0.11,"$1,383,147","$96,166,249"
"Sep 15, 2019",$0.12,$0.13,$0.11,$0.12,"$365,945","$107,042,283"
"Sep 14, 2019",$0.11,$0.13,$0.11,$0.12,"$346,202","$107,530,074"
"Sep 13, 2019",$0.11,$0.12,$0.11,$0.11,"$788,698","$98,397,764"
"Sep 12, 2019",$0.11,$0.12,$0.11,$0.11,"$735,019","$98,557,403"
"Sep 11, 2019",$0.12,$0.12,$0.11,$0.11,"$735,482","$100,022,524"
"Sep 10, 2019",$0.12,$0.12,$0.12,$0.12,"$534,951","$101,653,371"
"Sep 09, 2019",$0.12,$0.12,$0.11,$0.12,"$738,951","$101,935,238"
"Sep 08, 2019",$0.12,$0.12,$0.12,$0.12,"$630,149","$103,926,583"
"Sep 07, 2019",$0.11,$0.12,$0.11,$0.12,"$652,205","$105,006,885"
"Sep 06, 2019",$0.12,$0.12,$0.11,$0.11,"$1,494,383","$98,426,524"
"Sep 05, 2019",$0.12,$0.12,$0.11,$0.12,"$1,730,630","$103,253,350"
"Sep 04, 2019",$0.12,$0.12,$0.11,$0.12,"$1,734,049","$101,814,881"
"Sep 03, 2019",$0.12,$0.12,$0.11,$0.12,"$1,274,954","$101,590,720"
"Sep 02, 2019",$0.12,$0.12,$0.11,$0.12,"$1,201,832","$100,823,738"
"Sep 01, 2019",$0.12,$0.12,$0.12,$0.12,"$925,848","$102,799,809"
"Aug 31, 2019",$0.12,$0.12,$0.12,$0.12,"$916,610","$103,664,476"
"Aug 30, 2019",$0.12,$0.12,$0.11,$0.12,"$1,438,892","$101,002,605"
"Aug 29, 2019",$0.12,$0.12,$0.11,$0.12,"$2,167,332","$101,361,332"
"Aug 28, 2019",$0.13,$0.13,$0.12,$0.12,"$3,841,876","$104,363,346"
"Aug 27, 2019",$0.13,$0.13,$0.12,$0.13,"$2,770,402","$114,734,406"
"Aug 26, 2019",$0.13,$0.13,$0.12,$0.13,"$1,694,013","$110,282,646"
"Aug 25, 2019",$0.13,$0.14,$0.12,$0.13,"$2,607,659","$109,525,640"
"Aug 24, 2019",$0.13,$0.13,$0.13,$0.13,"$2,326,316","$114,952,086"
"Aug 23, 2019",$0.13,$0.13,$0.13,$0.13,"$2,651,644","$112,320,338"
"Aug 22, 2019",$0.13,$0.13,$0.12,$0.13,"$1,989,231","$111,104,147"
"Aug 21, 2019",$0.12,$0.13,$0.12,$0.13,"$2,404,202","$109,097,432"
"Aug 20, 2019",$0.13,$0.13,$0.12,$0.12,"$2,131,113","$105,868,636"
"Aug 19, 2019",$0.12,$0.13,$0.12,$0.13,"$1,975,533","$110,773,330"
"Aug 18, 2019",$0.12,$0.12,$0.12,$0.12,"$1,303,627","$106,286,608"
"Aug 17, 2019",$0.12,$0.12,$0.11,$0.12,"$1,384,139","$103,499,633"
"Aug 16, 2019",$0.12,$0.12,$0.11,$0.12,"$1,897,729","$101,109,286"
"Aug 15, 2019",$0.11,$0.12,$0.11,$0.12,"$1,206,201","$101,640,371"
"Aug 14, 2019",$0.12,$0.13,$0.11,$0.11,"$1,871,332","$97,395,822"
"Aug 13, 2019",$0.13,$0.13,$0.12,$0.12,"$1,932,235","$107,578,464"
"Aug 12, 2019",$0.12,$0.13,$0.12,$0.13,"$3,860,368","$111,091,925"
"Aug 11, 2019",$0.12,$0.13,$0.12,$0.12,"$1,387,686","$107,582,794"
"Aug 10, 2019",$0.12,$0.12,$0.12,$0.12,"$1,099,532","$106,600,244"
