date,POW,POW to POS,POS,OTHER
2018-08-19,0.6807305349731197,0.1634936748149602,0.0796547914555816,0.07612099875633849
2018-08-20,0.6901754312219661,0.15704413109828036,0.078488591113489,0.07429184656626453
2018-08-21,0.6900147426399403,0.15674423755280303,0.07701219807379707,0.0762288217334595
2018-08-22,0.6949318431801373,0.15485167529544225,0.07556925916283413,0.07464722236158623
2018-08-23,0.6939578907331176,0.1541593847126702,0.07717305805881784,0.07470966649539433
2018-08-24,0.6963981446375026,0.1539345399406131,0.07668672150994837,0.07298059391193588
2018-08-25,0.6985291090206971,0.15172248280627293,0.07658083036527158,0.07316757780775837
2018-08-26,0.6993326070696272,0.1509067776369164,0.0768410044694246,0.07291961082403176
2018-08-27,0.6947988420732767,0.15120393209851915,0.08001921479821333,0.07397801102999083
2018-08-28,0.6913490673938933,0.1514546927857189,0.08285908005752735,0.07433715976286046
2018-08-29,0.6937093375910381,0.14963190401508794,0.08306805855781879,0.07359069983605508
2018-08-30,0.6952734804189042,0.14933412254372808,0.08258544161759938,0.0728069554197683
2018-08-31,0.6958361554938639,0.1483299191309535,0.08378657100157764,0.07204735437360488
2018-09-01,0.6934423916208917,0.1503395199385116,0.08391452184815638,0.07230356659244025
2018-09-02,0.6988138559225503,0.14833081453099456,0.08205393283205303,0.07080139671440214
2018-09-03,0.7013803349405119,0.146757619597633,0.08170219904479147,0.07015984641706362
2018-09-04,0.7051026284735508,0.14388530930399915,0.0820413527874036,0.06897070943504643
2018-09-05,0.723973169660756,0.13192505222432346,0.07795656504889861,0.06614521306602197
2018-09-06,0.7140873392624345,0.13380999646530214,0.08024378042210546,0.07185888385015794
2018-09-07,0.7201414715451255,0.12929300170612212,0.07989546231599377,0.07067006443275854
2018-09-08,0.7262461629170739,0.12430200202205495,0.07847821706424014,0.07097361799663102
2018-09-09,0.7283803417610493,0.12258742640232136,0.07895568433296181,0.07007654750366758
2018-09-10,0.7291306304694003,0.12334207039695066,0.07948118828044576,0.06804611085320324
2018-09-11,0.7353188403057673,0.11738865549633287,0.08018810076820068,0.0671044034296991
2018-09-12,0.7361567077164848,0.11631086779817777,0.07875008898695483,0.06878233549838257
